あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
あちゅん	あちゅん 〈明く、開く、空く〉【活】あちゃん、
あち〜	あち〜〈暑、熱、厚〉 【例】あちさん（暑い、熱
あち ぐに	あち ぐに 〈暑い地域〉 【例】うちなーや
あちらすん	あちらすん 〈食べ物を暖める〉【活】あちら
あちりーん	あちりーん 〈熱くなる〉【活】あちりたん、あ
あった ばじょー	あった ばじょー 〈ちらっと見の良さ、見
あちれーゆん	あちれーゆん 〈注文して仕立てる〉【活】あ
あっく すん	あっく すん 〈（上から目線で）叱りつけ
あったみ	あったみ 〈精肉〉 【例】ぶた あったみ（豚
あったる	あったる 〈大事な、大切な〉 【例】あいゑ
あった〜	あった〜〈急〉 【例】っやーや っちゅぬ 
あっちゅん	あっちゅん 〈動きまわる、動く、歩く〉【活】
あてぃーん	あてぃーん 〈当てる〉【活】あてぃたん、あ
あてぃげーふー／あってぃんぷー／あびれー ちごー（ぬ っちゅ）	あてぃげーふー／あってぃんぷー／あびれー ちごー（ぬ っちゅ）〈あてず
あっぺーる／うっぺーる／くっぺーる	あっぺーる／うっぺーる／くっぺーる 〈あの／その／この大きさ〉 【例】っ
あとぅ しーちゅん	あとぅ しーちゅん 〈後ずさりする〉
あとぅ しーちゃー	あとぅ しーちゃー 〈後ずさり〉【活】あと
あとぅない あとぅない	あとぅない あとぅない 〈後ろにひっ
あてぃ	あてぃ 〈思慮、目当て〉 【例】あてぃ なし
あとぅまさい がふー	あとぅまさい がふー 〈後の方の幸運
あばさー、あばし	あばさー、あばし 〈おてんば、針千本〉
あびー くるすん	あびー くるすん 〈大声を出して痛めつけ
あびーん	あびーん 〈大声をだす、声をかける、しゃべ
あふぁげーりーん	あふぁげーりーん 〈気持ちを萎縮させる〉
あふぁなちゅん	あふぁなちゅん 〈寝るの卑語〉【活】あふ
あふぃー	あふぃー 〈兄さん（平⺠）〉 【例】いったー
あふぃらー	あふぃらー 〈アヒル〉 【例】あぬ うぃな
あふぇーいん	あふぇーいん 〈（気が）抜けて水っぽくな
あまいん	あまいん 〈余る〉【活】あまたん、あまらん、
あまみ／あまん ゆー	あまみ／あまん ゆー 〈大昔〉 【例】
あまぐゎし	あまぐゎし 〈ぜんざい〉 【例】あまぐゎし
あまじゃき	あまじゃき 〈酢〉 【例】ういぐゎーぬ 
あや	あや 〈綾、模様〉 【例】あれー むしるぬ 
あやー	あやー 〈お⺟さん（士族）〉 【例】あやめー
あますん	あますん 〈元気が有り余っている〉【活】あま
あやめー くさめー	あやめー くさめー 〈まつわりついてじ
あやかーいん	あやかーいん 〈あやかる〉【活】あやかーた
あやかーらすん	あやかーらすん 〈あやからす〉【活】あや
あわてぃー はーてぃー	あわてぃー はーてぃー 〈急いでいるさ
あやまいん	あやまいん 〈あやまちをする〉【活】あやま
あわり	あわり 〈苦労〉 【例】いくさねー んな だ
あん	あん 〈ある〉 【例】あいにどぅ くばめーゆ
あやまい	あやまい 〈（道徳的な）あやまち〉 【例】ち
あらがーいん	あらがーいん 〈口論する、議論する〉【活】
あんしー かんしー すん	あんしー かんしー すん 〈あれこ
あらげーいん	あらげーいん 〈大きくなり過ぎる〉【活】あ
あらむん	あらむん 〈粗末な食べ物〉 【例】あらむん
あり	あり 〈あれ、あの人〉 【例】ありが むぬん
あんぢゅん	あんぢゅん 〈焼く、あたためる〉【活】あん
あわてぃーん	あわてぃーん 〈急ぐ〉【活】あわてぃたん、
あんだ	あんだ 〈油、脂〉
あんだ がーき	あんだ がーき 〈肉を⻑いこと食べていな
あんだ ぐち	ぃびち’ でも作って食べよう）。あんだ ぐち 〈お世辞〉 【例】みーぬ め
あんべー	あんべー 〈あんばい、気分〉 【例】なまー
あんでぃーん	あんでぃーん 〈こぼれる〉【活】あんでぃた
あんまー	あんまー 〈お⺟さん（平⺠）〉 【例】あやー
あんだすん	あんだすん 〈こぼす〉【活】あんだちゃん、あ
〜い	〜い 〈時、から (理由)〉 【例】わらび そーいに（子どものときに）。あちさいに／あちさ
いーち	いーち 〈息〉 【例】どぅく いちゅなさぬ
いーけーりーん	いーけーりーん 〈中味がすっかりこぼれ
いーち げーい	いーち げーい 〈息抜き、息つぎ〉 【例】
いーけーらすん	いーけーらすん 〈中味をすっかりこぼす〉
いーち ながー	いーち ながー 〈息が⻑い者〉 【例】くー
いーち までぃー すん	いーち までぃー すん 〈窒息する〉
いーび なぎー／いーびがにー	いーび なぎー／いーびがにー 〈指輪〉
いーち みー	いーち みー 〈空気孔〉 【例】うんたまぎ
いーび ぬち	いーび ぬち 〈指差し〉 【例】っちゅんか
いーび ばん	いーび ばん 〈拇印〉 【例】はんこ わし
いーちゅ	いーちゅ 〈絹〉 【例】いーちゅさーに ちゅ
いーび ばんち	いーび ばんち 〈つま弾き〉 【例】ギター
いーび	いーび 〈指〉 【例】てぃーふぃさんかえー 
いーび をぅーい すん	いーび をぅーい すん 〈指を数える〉
いーび んぐゎー	いーび んぐゎー 〈小指〉 【例】ちかぐろ
いーふぇー	いーふぇー 〈位牌〉 【例】いーふぇー だ
いーふぇー なー	いーふぇー なー 〈戒名〉 【例】いーふぇ
いーらー	いーらー 〈くらげ、かつおのえぼし〉 【例】
いー くじーん	いー くじーん 〈皮肉を言う〉 【例】み
いー けーしげーし すん	いー けーしげーし すん 〈何度もくり
いー がーえー	いー がーえー 〈言い争い〉 【例】ちょー
いー っくゎ	いー っくゎ 〈言い過ぎ〉 【例】いーっ
いー しぢーん	いー しぢーん 〈言い過ぎる〉 【例】あれ
いーん	いーん 〈言う〉【活】いちゃん、いらん、いち
いー あーすん	いー あーすん 〈相談する〉 【例】をぅと
いー たてぃーん	いー たてぃーん 〈大げさに言う〉 【例】
いー あーし	いー あーし 〈相談〉 【例】をぅとぅぬ 
いー ちーん	いー ちーん 〈ののしる〉 【例】っちゅぬ
いー ちきーん	いー ちきーん 〈命令する〉 【例】っちゅ
いー ぶさ かってぃー	いー ぶさ かってぃー 〈言い放題〉
いー だてぃ	いー だてぃ 〈大げさ〉 【例】いーだたー
いー ぶん	いー ぶん 〈言い分〉 【例】っやー いー
いー ながしながし すん	いー ながしながし すん 〈口ばかりで
いー みんぐゎすん	いー みんぐゎすん 〈言いまぎらわす〉
いー ならーすん	いー ならーすん 〈言って教える〉【活】〜
いー むどぅすん	いー むどぅすん 〈解消する〉【活】〜むど
いー ぬくすん	いー ぬくすん 〈言い残す〉 【例】いーぬ
いひー あはー	いひー あはー 〈談笑できるさま〉 【例】
いー やんぢゅん	いー やんぢゅん 〈言い損なう〉【活】〜や
いー ほーいん	いー ほーいん 〈言い放つ〉【活】〜ほーた
いー よー	いー よー 〈言い方〉 【例】いーよーぬ 
い くとぅば	い くとぅば 〈言い伝え〉 【例】うふっち
いちゃい はんちゃい	いちゃい はんちゃい 〈ああ言ったり、こ
いーん	いーん 〈要る〉【活】いっちゃん、いらん、い
いく〜	いく〜〈幾〉 【例】いくち（いくつ）、いくた
いくさ	いくさ 〈戦争〉 【例】うぃなごー いくさぬ
いちぇー はんちぇー	いちぇー はんちぇー 〈口答え〉 【例】
いーん	いーん 〈入る〉【活】いっちゃん、いらん、い
いくさぐゎー しぇー	いくさぐゎー しぇー 〈戦ごっこ〉 【例】
いぐますん	いぐますん 〈計画する〉【活】いぐまちゃ
いっちゃい っんぢたい すん	いっちゃい っんぢたい すん 〈出たり
いぐまし	いぐまし 〈企画、事業〉 【例】うちなーぐち
いし くびり	いし くびり 〈石ころの小さな小道〉 【例】
いさとぅー	いさとぅー 〈カマキリ〉 【例】あぬ うぃ
いさみーん	いさみーん 〈励ます〉【活】いさみたん、い
いし	いし 〈石〉
いし じょー	いし じょー 〈石門〉 【例】うちなーぬ 
いし ぢ	いし ぢ 〈礎石〉 【例】いくさをぅてぃ 
いし かぶい じょー	いし かぶい じょー 〈石積みの門〉
いし なーぐー	いし なーぐー 〈小石遊び〉 【例】んか
いし がんとー	いし がんとー 〈石敢當〉 【例】みちぬ
いし きじゃい	いし きじゃい 〈石段〉 【例】くぬ うて
いし ぐー	いし ぐー 〈細かい砂利〉 【例】なーぢゅ
いし みち	いし みち 〈石畳道〉 【例】んかしぬ す
いち ばん どぅい	いち ばん どぅい 〈一番鶏〉 【例】や
いしぇー	いしぇー 〈くわしいこと〉 【例】ぬーんち
いち ぶん	いち ぶん 〈独力で〉 【例】わったー く
いそーさ すん	いそーさ すん 〈嬉しがる〉【活】〜さん、〜
いち	いち 〈池〉 【例】なーんかい っちゅぬ ちゅ
いた ぢり	いた ぢり 〈板切れ〉 【例】んかしぬ わ
いち	いち 〈1〉 【例】いちめー（１枚）、にんめー（２枚）、さんめー（３枚）、ゆんめー（４枚）、ぐ
いち	いち 〈いつ〉 【例】いち すが？／いち ち
いぢ	いぢ 〈勇気、根気、怒り〉 【例】いぢゃー／い
いち でーじ	いち でーじ 〈大変困ったこと〉 【例】て
いち まぶい	いち まぶい 〈生き霊〉 【例】さた しー
いちみとぅ とぅーみー	いちみとぅ とぅーみー 〈一生涯〉 【例】
いちか	いちか 〈いつか〉 【例】いちか まーがな
いち むし／いち むん	いち むし／いち むん 〈動物〉 【例】
いちちゅん	いちちゅん 〈生きる〉【活】いちちゃん、い
いち ぢむ	いち ぢむ〈人間としての心〉 【例】っちゅ
いちからん いちち すん	いちからん いちち すん 〈苦しい生き
いちかすん	いちかすん 〈生かす〉【活】いちかちゃん、
いちまん	いちまん 〈糸満〉 【例】いちまん うぃな
いぢり	いぢり 〈意気地、気力〉 【例】いぢり むん
いち はじ	いち はじ 〈大恥〉 【例】とぅしぢり ス
いちん	いちん 〈意見〉 【例】あれー あびらしぇー
いちゃーすん	いちゃーすん 〈引き逢わす、帳尻を合わせ
いちぇー ぐりー／いちぇー ぐらー	いちぇー ぐりー／いちぇー ぐらー
いちぇー はんすん	いちぇー はんすん〈逢いそびれる〉【活】〜
いちゃさ すん	いちゃさ すん 〈惜しむ〉【活】〜さん、〜
いちゃ がらすー	いちゃ がらすー 〈イカの塩漬け〉 【例】
いちゃいん	いちゃいん 〈出逢う〉【活】いちゃたん、い
いちゃんだ	いちゃんだ 〈ただ、無料〉 【例】んーぢゅ
いちぇー かんてぃー すん	いちぇー かんてぃー すん 〈逢えない
いちゃんだ うい	いちゃんだ うい 〈捨て売り〉 【例】どぅ
いちゃんだ がみ	いちゃんだ がみ 〈ただ食い〉 【例】ぐ
いちゅん	いちゅん 〈行く〉【活】っんぢゃん、いかん、
いちゃんだ ぢけー	いちゃんだ ぢけー 〈ただで使うこと〉
いち しぢとーん	いち しぢとーん 〈行き過ぎる〉 【例】っ
いち むどぅい	いち むどぅい 〈往復〉 【例】しくちんか
いちゃんだ むぬ	いちゃんだ むぬ 〈ただの物〉 【例】いち
いちゅんてー いかんてー すん	いちゅんてー いかんてー すん 〈行く
いちゅく	いちゅく 〈従兄弟〉 【例】ありとぅ わん
いちゅた	いちゅた 〈ちょっとの間〉 【例】いさぬ 
いちぇー ちげー	いちぇー ちげー 〈行き違い〉 【例】あり
いちゅび	いちゅび 〈イチゴ〉 【例】いちゅびぬ か
いっさん	いっさん 〈走って〉 【例】いっさん なて
いっそー	いっそー 〈普段〉 【例】いっそーや あねー
いちぇー かじ	いちぇー かじ 〈出逢いの悪霊〉 【例】
いっそー ちやー	いっそー ちやー 〈普段着〉 【例】くぬ 
いっそー なーでぃー／ちび なーでぃー	いっそー なーでぃー／ちび なーでぃー 〈残らず〉 【例】なー けーい
いなか んちゅ	いなか んちゅ 〈田舎（出身の）者〉 【例】
いったー はらー	いったー はらー 〈あなたたちの側〉
いっとぅがよー	いっとぅがよー 〈おはじき〉 【例】んか
いなむどぅち	いなむどぅち 〈猪料理〉 【例】いなむど
いばいん	いばいん 〈威張る〉 【例】ぬーぬ いばい
いば〜	いば〜〈狭〉 【例】いばさん（狭い）の接頭辞
いば どぅくる	いば どぅくる 〈密集している所〉 【例】
いっとぅち	いっとぅち 〈片時〉 【例】ぐまわらばーか
いとぅいん	いとぅいん 〈嫌がる〉【活】いとぅたん、いと
いばいぬ みー	いばいぬ みー 〈狭苦しいところ〉 【例】
いみ すん	いみ すん 〈量が増す〉【活】〜さん、〜さ
いま	いま 〈新鮮なもの、現世〉 【例】いまいゆ（新
いめんしぇーん	いめんしぇーん 〈いらっしゃる〉【活】いめ
いみ	いみ 〈夢〉 【例】みーくーてぃからー ちゅ
いめんしぇーびーん	いめんしぇーびーん 〈いらっしゃる〉
いみ あき	いみ あき 〈忌み明け〉 【例】いみあけ
いゆ	いゆ 〈魚〉 【例】いちまのー をぅとー い
いみーん	いみーん 〈催促する〉【活】いみたん、いみら
いゆぬ みー	いゆぬ みー 〈魚の目〉 【例】ふぃさぬ
いらーすん	いらーすん 〈一時立て替えて貸す〉【活】い
いらいん	いらいん 〈一時立て替えて借りる〉【活】いら
いらな	いらな 〈鎌〉 【例】うちなーぐゆみぬ しち
いり けーいん	いり けーいん 〈入れ替える〉【活】いりけ
いり けーらすん	いり けーらすん 〈入れ替えさせる〉【活】
いりち	いりち 〈鱗、ふけ〉 【例】いゆぬ いりち
いらぶん	いらぶん 〈選ぶ〉【活】いらだん、いらばん、
いりちゅん	いりちゅん 〈炒める〉【活】いりちゃん、い
いらび ぬくし／いらび ぬくさー	いらび ぬくし／いらび ぬくさー〈選
いらび っんぢゃすん	いらび っんぢゃすん 〈選び出す〉 【例】
いりめー	いりめー 〈収入〉 【例】とぅしじりに ちー
いりーん	いりーん 〈入れる〉【活】いったん、いりら
いりゆー	いりゆー 〈必要〉 【例】っやー いりゆー 
いる ぶり	いる ぶり 〈好色（女性にのみ用いる）〉
いりむくー	いりむくー 〈入り婿〉 【例】いりむくーや
いりわい	いりわい 〈口論〉 【例】いりわい すん（口
いる	いる 〈色、血色〉 【例】めー いちゃたる 
いらー	いらー 〈好色者〉 【例】あれー ぬーんち
いる かじ	いる かじ 〈いろいろ〉 【例】いったー 
いるみー わかすん	いるみー わかすん 〈選り分ける〉【活】
いれーいん	いれーいん 〈答える〉 【例】ふぃじふぃん
いん	いん 〈犬〉 【例】えーそーぬ あたらん っち
いる そー もーそー	いる そー もーそー 〈驚いて顔色が⻘く
うい	うい 〈ウリ〉 【例】ういぐゎーや どぅーぬ
ういん	ういん 〈売る〉【活】うたん、うらん、うてぃ
うららん ぬー	うららん ぬー 〈見切り品〉 【例】うらら
うーえー くーえー すん	うーえー くーえー すん 〈追いつ追わ
ういん	ういん 〈織る〉【活】うたん、うらん、うてぃ
うーいん	うーいん 〈負う〉【活】うーたん、うーらん、
うーいん	うーいん 〈追う、従う〉【活】うーたん、うー
うーく	うーく 〈奥〉 【例】わたくさー どぅーく
うーく ばー	うーく ばー 〈奥⻭〉 【例】うーくばーや
うーくい	うーくい 〈お送り〉 【例】しちぐゎちーぬ 
うーちるがいん	うーちるがいん 〈すっかり浸透する、すっ
うーぐとぅ	うーぐとぅ 〈ありがたいこと、うれしいこ
うーさり あーさり すん	うーさり あーさり すん 〈ぺこぺ
うーちりばんた	うーちりばんた 〈断崖絶壁〉 【例】うー
うーとーとぅ すん	うーとーとぅ すん 〈お祈りする〉【活】〜
うーし	うーし 〈臼〉 【例】んかしぇー むちぐみ 
うーばんばらー すん	うーばんばらー すん 〈がらんとして
うーび	うーび 〈帯〉 【例】うーべー うぃきがぬ 
うーしーん	うーしーん 〈負わせる、疑う〉【活】うーし
うーふぁ	うーふぁ 〈おんぶ〉 【例】しーじゃぬちゃ
うーすん	うーすん 〈負わす〉【活】うーちゃん、うーさ
うかじゃい かび	うかじゃい かび 〈祭壇に供える紙〉
うーふぁ すん	うーふぁ すん 〈おぶる〉【活】〜さん、〜さ
うーふー	うーふー 〈敬語〉 【例】あんどぅ やるん
うかぢ	うかぢ 〈おかげ〉 【例】やぐさみむん や
うかっとぅー	うかっとぅー 〈うっかり者〉 【例】っちゅ
うかみがなしー	うかみがなしー 〈神様〉 【例】ニライカ
うーまくー、うーまく	うーまくー、うーまく 〈腕白、しっかり
うきーん	うきーん 〈浮かべる〉【活】うかちゃん、うか
うかきぶしぇー	うかきぶしぇー 〈お治めになること〉
うきーん	うきーん 〈起きる〉【活】うきたん、うきら
うきじゃま にじゃま	うきじゃま にじゃま 〈起きぬけ〉 【例】
うきにん	うきにん 〈保証人〉 【例】っちゅぬ うき
うき ふぃんとー	うき ふぃんとー 〈受け答え〉 【例】っち
うき にんぢ	うき にんぢ 〈床についたまま起きること〉
うきーん	うきーん 〈受ける、引き受ける〉【活】うきた
うき むち	うき むち 〈受け持ち〉 【例】くんどぅぬ
うきんじゅ はいんじゅ	うきんじゅ はいんじゅ 〈受水走水〉
うき とぅいん	うき とぅいん 〈取得した〉【活】うきとぅ
うき とぅみーん	うき とぅみーん 〈受け止める〉【活】うき
うき どぅい	うき どぅい 〈領収書〉 【例】むぬ こ
うくいん	うくいん 〈送る〉【活】うくたん、うくらん、
うぐしく	うぐしく 〈首里城〉 【例】うぐしくんかえ
うくすん	うくすん 〈起こす〉【活】うくちゃん、うくさ
うくすん	うくすん 〈興す〉【活】うくちゃん、うくさん、
うくりーん	うくりーん 〈初めて起こる〉【活】うくりた
うぐゎん	うぐゎん 〈祈願〉 【例】なーちねーぢねー 
うぐりーん	うぐりーん 〈再発する〉【活】うぐりたん、う
うぐゎん ぐとぅ	うぐゎん ぐとぅ 〈願い事〉 【例】やーに
うくりーん	うくりーん 〈遅れる〉【活】うくりたん、う
うくでぃ	うくでぃ 〈神人〉 【例】なーむんちゅーむ
うぐゎん じゅ	うぐゎん じゅ 〈拝所〉 【例】いしぬ す
うけー（めー）	うけー（めー）〈お粥〉 【例】どぅーぬ 
うぐゎん ぶとぅち	うぐゎん ぶとぅち 〈結願のお礼参り〉
うこー	うこー 〈お線香〉 【例】うちなーや うやふ
うこーる	うこーる 〈香炉〉 【例】うちなーをぅてー
うさーいん	うさーいん 〈合わさる〉【活】うさーたん、う
うさぢ	うさぢ 〈ウサギ〉 【例】うさぢぇー かなさ
うさんでー	うさんでー 〈供え物をさげたもの〉 【例】
うさーすん	うさーすん 〈合わす、抱かせる〉【活】うさ
うし	うし 〈牛〉
うし おーらしぇー	うし おーらしぇー 〈闘牛〉 【例】うち
うしぬ しし	うしぬ しし 〈牛肉〉 【例】んかしぇー 
うさーりーん	うさーりーん 〈襲われる〉【活】うさーりた
うしぬ ちー	うしぬ ちー 〈牛乳〉 【例】うしぬ ちー
うさがいん	うさがいん 〈いただく〉【活】うさがたん、
うしーまーしー	うしーまーしー 〈順々にまわしすこと〉
うしーみー	うしーみー 〈清明祭〉 【例】うしーみーや
うさきー（なー）	うさきー（なー）〈そんなにたくさん〉
うじーん	うじーん 〈恐れをなす、怖じる〉【活】うじた
うし けーらすん	うし けーらすん 〈突き飛ばす〉【活】〜け
うじーちーん	うじーちーん 〈すっかり怖じ気ずく〉【活】
うし ちーん	うし ちーん〈ちょん切る、押しきる〉【活】〜
うしぇーいん	うしぇーいん 〈ばかにする〉【活】うしぇー
うし〜	うし〜〈押し〉
うし ちきーん	うし ちきーん 〈押しつける〉【活】〜ちき
うし ぬきーん	うし ぬきーん 〈押しのける〉【活】〜ぬき
うし くるばーしぇー すん	うし くるばーしぇー すん 〈混雑で押
うし まーすん	うし まーすん 〈きりっと締める〉【活】〜
うし くみーん	うし くみーん 〈押さえつける〉【活】〜く
うし まぎーん	うし まぎーん 〈負かす〉【活】〜まぎた
うし けーすん	うし けーすん 〈押し返す〉【活】〜けーち
うしる	うしる 〈おつゆ〉 【例】「うんじょー うし
うし ゆしーん	うし ゆしーん 〈押し寄せる〉【活】〜ゆし
うし っんぢゃすん	うし っんぢゃすん 〈押し出す〉【活】〜っ
うしる くぶー	うしる くぶー 〈後頭頸部〉 【例】がっ
うし とーすん	うし とーすん 〈押し通す〉【活】〜とーち
うし んちゅん	うし んちゅん 〈押し込む〉【活】〜んちゃ
うしざし	うしざし 〈かんざしの一種〉 【例】んかしぬ
うじゃさー	うじゃさー 〈おじさん〉 【例】うじゃさー
うじゅますん	うじゅますん 〈目を醒させる〉【活】うじ
うしでーく	うしでーく 〈臼太鼓〉 【例】むらまちりを
うじゅむん	うじゅむん 〈目を醒す〉【活】うじゅだん、
うじみーん	うじみーん 〈埋める〉【活】うじみたん、う
うじゅみ	うじゅみ 〈はずみ、きっかけ〉 【例】はじ
うしんちー	うしんちー 〈着物の前の端を腰巻きの紐の
うすでー	うすでー 〈お祝儀〉 【例】うすでーや ち
うすん	うすん 〈押す〉【活】うちゃん、うさん、うち
うすめー	うすめー 〈おじいさん（平⺠）〉 【例】はー
うすりーん	うすりーん 〈敬う〉【活】うすりたん、うすり
うすいん	うすいん 〈かぶせる、抱く〉【活】うすたん、
うすり	うすり 〈敬いの気持ち、畏れ〉 【例】どぅー
うすばすん	うすばすん 〈伏せる〉【活】うすばちゃん、う
うすあかがい	うすあかがい 〈薄明かり〉 【例】してぃ
うた	うた 〈歌〉 【例】うちなーぐちぬ うた ち
うすく	うすく 〈あこう〉 【例】「うすく」んでぃー
うた さー	うた さー 〈歌手〉 【例】あれー ゐー 
うた さんしん	うた さんしん 〈歌三線〉 【例】ふぇーさ
うだーすん	うだーすん 〈おどす、どなりつける〉【活】う
うち	うち 〈内、家の中〉 【例】「ちゃーびら さい」
うたき	うたき 〈御嶽〉 【例】うたきをぅてぃ どぅ
うちーん	うちーん 〈映る、移る〉【活】うちたん、うち
うたとぅくる	うたとぅくる 〈お二人様〉 【例】くまん
うち かび	うち かび 〈紙銭、あの世の紙幣〉 【例】
うたびみしぇーん	うたびみしぇーん 〈いただく〉【活】うた
うちきーん	うちきーん 〈置く〉【活】うちきたん、うち
うち〜	うち〜〈すっかり、まるごと（強調）〉 【例】を
うちくむん	うちくむん 〈雨が屋内に降り込む〉【活】う
うちけー さりやー	うちけー さりやー 〈使いっ走り〉
うちゃいん	うちゃいん 〈似合う〉【活】うちゃたん、う
うちちゅー（ぬ） めー／とーとーがなしーめー	うちちゅー（ぬ） めー／とーとーがなしーめー 〈お月様〉 【例】うちち
うちなー ぐち	うちなー ぐち 〈沖縄語〉 【例】うちな
うちゃたい かなたい すん	うちゃたい かなたい すん 〈たが
うちなー ゆー	うちなー ゆー 〈沖縄世〉 【例】ふぇーば
うちゃーすん	うちゃーすん 〈打ち合わす、協力する〉【活】
うちゃがいん	うちゃがいん 〈見違える〉【活】うちゃがた
うちながにー	うちながにー 〈肩ロース〉 【例】うちなが
うちなすん	うちなすん 〈済ます〉【活】うちなちゃん、う
うちゃぎーん	うちゃぎーん 〈上に向く〉【活】うちゃぎた
うちゅん	うちゅん 〈打つ〉【活】うちゃん、うたん、う
うちゃとー みんとー	うちゃとー みんとー 〈お茶とお水の
うちゃ ふかしぇー	うちゃ ふかしぇー 〈お茶会〉 【例】や
うちゃく	うちゃく 〈お客〉 【例】うちゃくぬ みち
うちゅくぃー	うちゅくぃー 〈ふろしき〉 【例】うちゅ
うちゅん	うちゅん 〈浮く〉【活】うちゃん、うかん、う
うちぇー かねー すん	うちぇー かねー すん 〈兼ね備え
うちぇーいみしぇーん	うちぇーいみしぇーん 〈おいで遊ばす〉
うちり びー	うちり びー 〈おき火、赤く熱した炭火〉
うちゅすん	うちゅすん 〈映す、移す〉【活】うちゅちゃ
うてぃーん	うてぃーん 〈落ちる〉【活】うてぃたん、う
うてぃ しじみ	うてぃ しじみ 〈没落〉 【例】にんぢんぬ
うてぃらー くゎー さがらー くゎ	うてぃらー くゎー さがらー くゎ
ー すん	ー すん 〈物欲しそうにする〉【活】〜さん、〜
うっさ〜	うっさ〜〈嬉しさ〉 【例】うっさん（嬉しい）
うっさ くゎったー すん	うっさ くゎったー すん 〈有頂天にな
うっさ ふくらさ すん	うっさ ふくらさ すん 〈非常に嬉しい〉
うっか	うっか 〈負債〉 【例】うっか かんてぃ ま
うっか ばれー	うっか ばれー 〈負債払い〉 【例】なげー
うっけーりーん	うっけーりーん 〈転ぶ、反転する〉【活】う
うったー	うったー 〈その人たち〉 【例】うったーや
うっちゃかいん	うっちゃかいん 〈よりかかる、頼る〉【活】
うっけーらすん	うっけーらすん 〈ひっくり返す〉【活】う
うっちゃんぎーん	うっちゃんぎーん 〈放り出す、置き去り
うっくるぶん	うっくるぶん 〈転倒する〉【活】うっくるだ
うっちんきーん	うっちんきーん 〈うつぶせる、伏せる〉【活】
うっちんとぅー	うっちんとぅー 〈うつぶせ〉【活】〜さん、〜
うっちぇーいん	うっちぇーいん 〈裏返る〉【活】うっちぇ
うっちぇーすん	うっちぇーすん 〈裏返す〉【活】うっちぇ
うってーいん	うってーいん 〈訴える〉【活】うってーた
