Page	Head_Coord	Height	Text
17	328	10.0	／くにぶぬ あかむん。（マンゴーが／ミカン
17	328	10.0	が色ずく）。さきっし ちらぬ あかむん。（酒
17	328	10.0	で顔が赤くなる）。
17	315	14.3	あがいん 〈1上がる、2上達する、悪い方に優
17	328	10.0	れる3終わる〉【活】あがたん、あがらん、あが
17	328	10.0	てぃ 【例】1 てぃーだぬ あがいん。（太陽が上
17	328	10.0	がる）。にーぬ あがいん。（値が上がる）。あれ
17	328	10.0	ー あがやー なとーん。（あの人は出世して
17	328	10.0	／字が上達する）。うた あがらすん。（歌を上
17	328	10.0	達させる）。ありやか なーふぃん あがいん。
17	328	10.0	いる）。2 うでぃぬ／じーぬ あがいん。（腕が
17	322	10.0	（あれよりさらに悪い）。ぬすどぅやか あがっ
17	328	10.0	たむん。（泥棒よりもさらに悪い者）。あまぬ 
17	328	10.0	うやー っくゎやか なーふぃん あがったむ
18	85	10.0	ん やん どー。（あの親は子よりもなおさら
18	85	10.0	ひどいよ、＝なーふぃん ちじどぅ やん ど
18	85	10.0	ー）。3なー あみん あがとーん。（もう雨も
18	85	10.0	上がっている）。なー っくゎ なしあがてぃ
18	85	10.0	ー？（もう子づくりは終わったの＝っくゎ ち
18	85	10.0	ゅくいしぇー なー うっさ なー？）。かちあ
18	85	10.0	がとーみ？（書き終わっているか）。いー、かち
18	85	10.0	あがとーん どー。（はい、書き終わっている
18	85	10.0	よ）。しくち あがたん。（仕事終わった）。ち
18	85	10.0	ゅーぬ まちぇー あがとーん。（今日の市場
18	85	10.0	は終わっている）。ちゅーや なー あちねー
18	85	10.0	 あがとーん。（今日はもう商売は終わってい
18	85	10.0	る）。てぃんぷらーん とーふん あがとーん
18	85	10.0	 どー。（テンプラも豆腐も揚がっているよ）。
18	85	12.0	あが い てぃーだ〈昇る太陽〉 【例】あ
18	85	10.0	がいてぃーだ くまー（昇る太陽に組する者、
18	85	10.0	日和見）、＝みーさ かばさー（新しいのを嗅
18	85	10.0	ぐ者、日和見）。あがいてぃーだどぅ をぅがむ
18	85	10.0	る、さがいてぃーだー をぅがまんでー いら
18	85	10.0	っとーしが あがいてぃーだ をぅがまー な
18	85	10.0	てー ならん どー。（昇る太陽こそ拝む、落日
18	85	10.0	は拝まないとはいわれているが、勢いのある人
18	85	10.0	ばかりをとりいる人になってはいけないよ）。
18	85	12.0	あが やー 〈偉い人〉 【例】うみはまてぃ
18	85	10.0	 びんちょーしわどぅ あとぅあとー あがや
18	85	10.0	ー なてぃ たかでぃまーとぅやー ないん 
18	85	10.0	どー。（一生懸命勉強して将来偉くなって高給
18	85	10.0	取りになるんだよ）。
18	72	14.3	あかがいん 〈明るくなる〉【活】あかがたん、
18	85	10.0	あかがらん、あかがてぃ 【例】ゆーん あきて
18	85	10.0	ぃ あかがとーくとぅ、ふぇーくなー うきれ
18	85	10.0	ー。（夜も明けて明るくなっているので、早く起
18	85	10.0	きなさい）。【参】みーやー やくとぅ、あかあ
18	85	10.0	かーとぅ そーん やー（新築だから、とても
18	85	10.0	輝いているね）；ちらん ふぃちゃいかんとー
18	85	10.0	ん（顔も輝いている）。
18	86	12.0	あかがい 〈灯火、明るいところ〉 【例】あ
18	85	10.0	かがい ちきれー。（灯りをつけなさい）。【参】
18	85	10.0	くらしん（暗闇）、まっくらしん（真っ暗闇）。
18	86	12.0	あかがらすん 〈明るくする〉【活】あかがら
18	328	10.0	ちゃん、あかがらさん、あかがらち 【例】あか
18	328	10.0	がらしぇー。（明るくしなさい、＝あかがい ち
18	328	10.0	きれー）。
18	315	14.3	あかすん 〈開ける、明かす〉【活】あかちゃん、
18	328	10.0	あかさん、あかち 【例】むぬ あかしぇー（謎
18	328	10.0	解き）。うぬ はく／ふくる／段ボール あか
18	328	10.0	しぇー。（その箱／袋／段ボールを開けなさい）。
18	328	10.0	たびぬ やどぅをぅてぃ やーじしーさーに 
18	328	10.0	にんだらんたくとぅ、ゆー あかしかんてぃー
18	328	10.0	 さん。（旅の宿で慣れなくて眠れなかったの
18	328	10.0	で、夜明けを待つのにうんざりした）。【参】ゆ
18	328	10.0	ーぬ あきーしぬ したたか にーさんねー 
18	328	10.0	すたん（夜が明けるのが遅いような気がしてい
18	328	10.0	た）；したたか にりとーたっさー（とても嫌
18	328	10.0	になっていた）；ちむ あきれー（心を開きな
18	328	10.0	さい）。
18	315	14.3	あがた 〈あちら〉 【例】まーんかい うちゅ
18	328	10.0	が？ あがたんかい うちょーけー。（どこに
18	328	10.0	置くの。あちらに置いておけ）。
18	315	14.3	あがち 〈ヤンバルクイナ〉 【例】「やんばるく
18	328	10.0	いな」んでぃち しけーんかい ゆー しらっ
18	328	10.0	とーる とぅいぬ をぅしが、うちなーぐちし
18	328	10.0	ぇー 「あがち」んでぃどぅ いちょーる。う
18	328	10.0	ちなーむのー むる うちなーなーんかい の
18	328	10.0	ーしびちー あらに？（「ヤンバルクイナ」とい
18	328	10.0	う世界に知られた鳥がいるが、沖縄語では「ア
18	328	10.0	ガチ」といっている。沖縄のものはすべて沖縄
18	328	10.0	語名にすべきではないのか）。
18	315	14.3	あがちゅん 〈1よく働く、2はかどる〉【活】あ
18	328	10.0	がちゃん、あがかん、あがち 【例】1 あれー 
18	328	10.0	ゆー あがちゃー やっさー やー。（あいつ
18	328	10.0	は働き者だね）。2 しくちぇー／びんちょーや 
18	328	10.0	ちゃーが？ あがちょーみ？（仕事は／勉強は
18	328	10.0	どうだ。はかどっているか）。しくちぇー むる
18	328	10.0	 あがかん さー。（仕事はまったくはかどら
18	328	10.0	ないよ）。しゅくだいん びんちょーん あが
18	328	10.0	かん ねー やー。（宿題も勉強もしないとね
18	328	10.0	え）。ぬー しみてぃん ぬーんかいん あが
18	328	10.0	かん。（何をさせてもどうにもはかどらない）。
19	72	14.3	あかちち 〈夜明け、暁〉 【例】あかちちう
19	85	10.0	き（夜明け起床）、ふぇーうき（早起き）。【参】
19	85	10.0	ゆーあきがた（ほのかに明るくなってくる頃）。
19	72	14.3	あがとー 〈あんな遠く〉 【例】なちじんぐし
19	85	10.0	こー あがとー やくとぅ ふぇーくなー っ
19	85	10.0	んぢらんとー ならん てー。（今帰仁城はあ
19	85	10.0	んな遠いので早く出発しないといけない）。な
19	85	10.0	ちじんぐしこー うがとーんかい あてーさ 
19	85	10.0	やー。にじかん かかとーっさ。（今帰仁城はそ
19	85	10.0	んな遠くにあったんだね。２時間かかっている
19	85	10.0	よ）。あがとーから ちゃん なー？（あんなに
19	85	10.0	遠くから来たの）。あがとーから ちゅーる 
19	85	10.0	ばー ゐ？（あんなに遠くから来るのか）。
19	72	14.3	あがねーいん 〈節約する〉【活】あがねーた
19	85	10.0	ん、あがねーらん、あがねーてぃ 【例】あがね
19	85	10.0	ー じょーじ ないわどぅ やーむちゃー な
19	85	10.0	いん どー。（倹約家になれば家計のやりくり
19	85	10.0	もできるよ）。もーきーし やかー あがねー
19	85	10.0	り／くめーきり よー。（儲けることよりは節
19	85	10.0	約しなさいよ）。もーきらぢ やか あがねー
19	85	10.0	り。（もうけようとするより節約しなさい）。も
19	85	10.0	ーきら、もーきら そーし やか あがねーり。
19	79	10.0	（もうけようとするより節約しなさい）。【参】も
19	85	10.0	ーきらぢ＝もーきらんでぃ すし（もうけよう
19	85	10.0	すること）、もーきらぢ そーん（もうけよう
19	85	10.0	としている）、くめーきーん（つつましくする）。
19	72	14.3	あがみーん 〈敬う〉【活】あがみたん、あが
19	85	10.0	みらん、あがみてぃ 【例】しんしーん どぅし
19	85	10.0	ん ゐぬ っちゅんでぃ うむとーてぃ、っち
19	85	10.0	ゅあがみぬ ねーらん／たらーん。（先生も友
19	85	10.0	人も同じ人と思っていて、人を敬うところがな
19	85	10.0	い／足りない）。
19	72	14.3	あがらすん 〈揚げる〉【活】あがらちゃん、あ
19	85	10.0	がらさん、あがらち 【例】さーたーあんだぎー
19	85	10.0	 あがらすん。（サーターアンダギーを揚げる）。
19	85	10.0	あがらさー（揚げ物）。
19	72	14.3	あがらすん 〈完成させる〉【活】あがらちゃ
19	85	10.0	ん、あがらさん、あがらち 【例】てぃがめー／
19	328	10.0	ぐじょーや かちあがらちゃん どー。（手紙
19	328	10.0	は書き終えたよ）。パン やちあがらちゃん 
19	328	10.0	どー。（パンを焼きあげたよ）。
19	315	14.3	あぎ 〈陸〉 【例】あぎがーみー（陸⻲）、うみが
19	328	10.0	ーみー（海⻲）。るーぐーぬ えーむん、あぎぬ
19	328	10.9	 えーむん（龍宮からの品揃え [例、いゆ、くー
19	328	10.9	ぶ、けー] や陸からの品揃え）。とーほー あぎ
19	328	10.0	ぬ しし やさ。ちゅふぁーら かめー。（豆腐
19	328	10.9	は陸の肉 [蛋白質] だよ。たくさん食べなさい）。
19	328	10.0	うみぬ ふりむんや いゆ やしが、あぎぬ 
19	328	10.0	ふりむんや うぃきが どー。（海の愚か者は
19	328	10.0	魚だが、陸の愚か者は男だよ）。
19	315	14.3	あきーん 〈開く〉【活】あきたん、あきらん、
19	328	10.0	あきてぃ 【例】しゅむち あきーん／くーい
19	328	10.0	ん。（本を開く／閉じる）。
19	315	14.3	あぎまーすん 〈せきたてる〉【活】あぎま
19	328	10.0	ーちゃん、あぎまーさん、あぎまーち 【例】ふ
19	328	10.0	ぇーくなー ふぇーくなーっし ちゃー あぎ
19	328	10.0	まーさってぃ むぬかんげーん ならん。（早
19	328	10.0	く早くといつもせきたてられて考える余裕もな
19	328	10.0	い）。でぃっか でぃっか さーに あぎまー
19	328	10.0	しぇー。あちゃー ないん どー。（さあさあと
19	328	10.0	せきたてなさい。明日になってしまうよ）。あ
19	328	10.0	ぎまーすなけー。あわてぃーる なーか よー
19	328	10.0	んなー やさ。（せきたてないで。急ぐなかで
19	328	10.0	も心は落ち着けてだよ）。なーだなー なーだ
19	328	10.0	なーっし あぎまーさんけー。ゆくん にっか
19	328	10.0	 ないさ。（まだかまだかとせきたてないでよ。
19	328	10.0	よけい遅くなるよ）。
19	315	14.3	あきま どぅし 〈新年〉 【例】くじゅん
19	328	10.0	 みーかんげーっし くぃみそーち いっぺー
19	328	10.0	 にふぇーでーびる。 あきまどぅしん ゆた
19	328	10.0	さるぐとぅ うにげーさびーん。（昨年もお世
19	328	10.0	話になりまして、大変ありがとうございます。
19	328	10.0	新年もよろしくお願い致します）。
19	315	14.3	あこーくろー 〈夕暮れ、薄暮〉 【例】あこ
19	328	10.0	ーくろー ないねー ちむ わさわさっし い
19	328	10.0	すぢ やーんかい けーいぶしく ないん。（薄
20	85	10.0	暮になると心が落ち着かなくなって急いで家に
20	85	10.9	帰りたくなる）。【参】ふぃー（1 日の区分名称）。
20	72	14.3	あさ 〈朝〉 【例】みーぐち やくとぅ、あさ
20	85	10.0	がりー ちちょーさ。（最初の商いなので、朝か
20	85	10.0	ら縁起が良いよ）。あさやちや あみんでぃ 
20	85	10.0	いらっとーしが。（朝焼けは雨だと言われてい
20	85	10.0	るが）。
20	85	12.0	あさ なー 〈朝寝坊〉 【例】ふにぬ っう
20	85	10.0	ぃーぬ あさなーや すーかじんかい あたて
20	85	10.0	ぃ みーくふぁたん。（船の上の朝寝坊は潮風
20	85	10.0	にあたって目が覚めた）。
20	85	12.0	あさ んなーら 〈朝っぱら〉 【例】そーぐ
20	85	10.0	ゎちねー うぃなごー あさんなーらから っ
20	85	10.0	ちゅぬ やーんかい いちゅる むのー あら
20	85	10.0	ん。（正月には女性は朝早くから他所の家に行
20	85	10.0	くものではない）。あさんなーらから／あかち
20	85	10.0	ちなーらから／してぃみてぃなーらから ゐー
20	85	10.0	 はなしぬ あたん。（朝早くから／夜明けか
20	85	10.0	ら／早朝から良い話があった）。あさんなーら
20	85	10.0	から まやーぬ やなあび そーん。（朝っぱ
20	85	10.0	らから猫が嫌な鳴き声をしている）。っちゅぬ
20	85	10.0	 やーんかい あさんなーらから ちー？（他
20	85	10.0	所の家に朝早くから来たの）。
20	72	14.3	あさぐいん 〈勝手にかき回す〉【活】あさぐ
20	85	10.0	たん、あさぐらん、あさぐてぃ 【例】たーが 
20	85	10.0	うり あさぐたが？（だれがそれを勝手にかき
20	85	10.0	回したか）。っちゅぬ むん あさぐやー（他人
20	85	10.0	のものを勝手にかき回す者）。あれー てぃ̶
20	85	10.0	ぐしぇー ねーんしが、っちゅぬ むん ぬー
20	85	10.0	んくぃん むんみじらさー なやーに どぅー
20	85	10.0	 かってぃーっし あさぐいくとぅ、ちー ち
20	85	10.0	きり よー。あまんかい かじみとーけー（あ
20	85	10.0	の人は盗癖はないが、他人のものを何でももの
20	85	10.0	珍しくして自分勝手にかき回すので気をつけな
20	85	10.0	さいよ。あそこにしまっておきなさい）。あさ
20	85	10.0	ぐやーや しかん さりーん／ちらーりーん／
20	85	10.0	みっくゎさ さりーん。（あら探しする者は好
20	85	10.0	かれない／嫌われる／憎まれる）。みーみーく
20	85	10.0	ーじー むる っちゅぬ むん あさぐら あ
20	85	10.0	さぐら そーる っちゅ（あれこれすべて他人
20	328	10.0	のものをかき回そうとする者）。ちむ あさぐ
20	328	10.0	やー（心を探り出そうとする者）。あれー ま
20	328	10.0	た わん ちむ あさぐてぃ（あれはまた私の
20	328	10.0	心を探って）。ちむ くじやー（他人の心をい
20	328	10.0	じくり回す者）、＝っちゅ わじらさー（人を
20	328	10.0	怒らせる者）。あれー ちむ くじやー どー。
20	328	10.0	わた くじ むにー さってぃ よー。んーだ
20	328	10.0	ん ふーなー そーけー。（あれは人の心をい
20	328	10.0	じくり回す奴だよ。嫌な言葉を浴びせられてね。
20	328	10.0	見ないふりをしておけ）。
20	315	31.8	あし 〈足〉 【例】あしどぅみ（入構禁止、*「ふぃさどぅみ」とは言わない）。あしふぃさ い
20	328	10.0	りらさん どー。（足一歩も入れさせないぞ）。
20	328	10.0	いちゅる とぅくる いちゅる とぅくる む
20	328	10.0	る うーやー からからーっし あし まちぶ
20	328	10.0	い そーっさー。（行くところ行くところすべ
20	328	10.0	て追いかけて来てじゃましてくるよ）。あしげ
20	328	10.0	ーし（その場に残っている人の精気を本人に戻
20	328	10.9	すこと、*「ふぃさげーし」とは言わない、＝く
20	328	10.0	まんかい ぬくとーる しー ぬーしんかい 
20	328	10.0	むどぅすん）。すーこーん うわてぃ っんま
20	328	10.0	から いっちゃいっんぢたい そーる うちゃ
20	328	10.0	くぬ あしげーし。（＝まぶいげーし、まぶいわ
20	328	10.0	かし）さびーくとぅ、なー めーめーぬ ぬー
20	328	10.0	しんかい けーしみてぃくぃみそーり よー。
20	322	10.0	（焼香も終わってそこから出たり入ったりする
20	328	10.0	お客の精気戻しをしますので、各人のもとに戻
20	328	10.0	させてくださいね）。ちゅーる かーじ っち
20	328	10.0	ゅぬ やーんぢ あびやーあびやーっし いり
20	328	10.0	わいさーに やーん むる みんぐゎち、あれ
20	328	10.0	ー くらちくぃみそーんな。あしどぅみっし 
20	328	10.0	くぃみそーり よー。（来るたびに他所の家で
20	328	10.0	大声を出して口論して家をかき乱して、あの人
20	328	10.0	は来させなさらないで出入り禁止にしてくださ
20	328	10.0	い）。ちまぐーんかいどぅ ぐすみちぬ うほ
20	328	10.0	ーく いっちょーくとぅ ちまぐーぬ まし 
20	328	10.0	やさ。（豚足の下関節に軟骨が多く入っている
20	328	10.0	ので、下関節が良い）。【参】ちまぐー（豚・牛・
20	328	10.0	馬の下関節）、こーとぅ（鳥・犬・猫のつま先）、
20	328	10.0	ふぃさ。
21	86	12.0	あし てぃびち 〈足手疋（豚足の料理名）〉
21	87	10.0	【例】あしてぃびち ちゅくいくとぅ っわー
21	85	10.9	びさ こーてぃ くーわ。（‘あしてぃびち’ を
21	85	10.0	つくるから豚足を買ってきなさい）。
21	72	14.3	あし 〈汗〉 【例】あし はやー（汗かき）。あ
21	85	10.0	しみじ はらち はたらちゅん。（汗水を流し
21	85	10.0	て働く）。じんでぃ いーしぇー、あしはい 
21	85	10.0	みじはいっし もーきーる むんどぅ やる。
21	79	10.0	（お金というのは汗水を流して稼ぐものだ）。う
21	85	10.0	やぬ あしはい みじはいっし もーきたる 
21	85	10.0	じん やくとぅ、あたらさっし じん ちかり
21	85	10.0	 よー。（親が汗水を流して稼いだお金なので、
21	85	10.0	大切にお金を使いなさいよ）。
21	72	14.3	あしがちゅん 〈あせる〉【活】あしがちゃん、
21	85	10.0	あしがかん、あしがち 【例】あしがちゃーとー
21	85	10.0	 まじゅーん たびん ならん。（せっかちと
21	85	10.0	は一緒に旅もできない）。んな あしがちっし
21	85	10.0	 まっちょーくとぅとぅ、あわてぃれー。（みん
21	85	10.0	なやきもきして待っているので、急ぎなさい）。
21	85	10.0	ちゃっさ あしがち さんてーまん ないるぐ
21	85	10.0	とぅどぅ ないる。あわてぃーるなーかぬ よ
21	85	10.0	ーんなー やさ。（いくらあせったとしてもな
21	85	10.0	るようにしかならない。急いでいても心は落ち
21	85	10.0	着けてゆっくりすべきだよ）。
21	72	14.3	あじけー 〈シャコガイ〉 【例】うちなーを
21	85	10.0	ぅてー やなむんばれー すんでぃ あじけー
21	85	10.0	 ふかんかい んかーち うじょーんかい さ
21	85	10.0	ぎらったい、いしがちぬ っうぃーにん うか
21	85	10.0	っとーん。（沖縄では魔除けとしてシャコガイ
21	85	10.0	を外に向けて門に下げられたり、石垣の上にも
21	85	10.0	置かれている）。
21	72	14.3	あしぶん 〈遊ぶ〉【活】あしだん、あしばん、
21	85	10.0	あしでぃ 【例】やー かちほーらーっし／か
21	85	10.0	ちほーてぃ あしでぃ あっちょーん。（家を
21	85	10.0	放り捨てて遊んでばかりいる）。
21	86	12.0	あしび 〈遊び〉 【例】びんちょーん わじ
21	85	10.0	ゃん あしびがなーどぅ ないる。（勉強も仕
21	85	10.0	事も息抜きが必要だ）。っちょー あしびん 
21	328	10.0	でぃきらちどぅ むぬぐとー なてぃ いちゅ
21	328	10.0	る。（人は遊びもしてこそ物事は成就する）。し
21	328	10.0	ゅむち はんぶん あしび はんぶんっしどぅ
21	328	10.0	 むぬぐとー かないる。（勉強も遊びもして
21	328	10.0	こそ物事は適う）。あしびぬ ちゅらさー に
21	328	10.0	んじゅぬ すなわい やくとぅ、たーんかいん
21	328	10.0	 やてぃん くぃー かきり よー。（歌踊り
21	328	10.0	のにぎわいは人数がそろってのことなので、誰
21	328	10.0	にでも声をかけけなさいよ）。
21	315	14.3	あしぶ 〈あせも〉 【例】んかしぇー あしぶ
21	328	10.0	 っんぢーねー、ごーやーぬ ふぁーとぅか 
21	328	10.0	ふーちばー ゆーんかい ちきてぃ、うりさー
21	328	10.0	に しーねー あしぼー かりたん。（昔はあ
21	328	10.0	せもが出たら、ゴーヤーの葉とかヨモギを湯に
21	328	10.0	つけて、それで擦るとあせもは萎んだ）。
21	315	14.3	あじまー 〈交差するところ、交差すること〉
21	330	10.0	【例】あぬ あじまーから ふぃぢゃいんかい
21	328	10.9	 まがてぃ、あんしから  200 メートルびけー
21	328	10.0	 ちゃー まっしーぐー いちーねー、にぢり
21	328	10.0	んかい まがてぃ ふぃぢゃいむてぃー なと
21	328	10.0	ーさ。やくとぅ、みー ぐるぐる さんてぃん
21	328	10.0	 しぐ わかいさ。（あの交差点から左に曲が
21	328	10.9	ってそれから 200 メートルぐらいまっすぐ行っ
21	328	10.0	たら右に曲がって左手になっているよ。だから、
21	328	10.0	戸惑わずにすぐわかるよ）。あじまーから に
21	328	10.0	ぢりんかい まがいーねー ふぃぢゃいぬ し
21	328	10.0	ぐ いっちゃかい（ぐゎー） やさ（交差点か
21	328	10.0	ら右に曲がったら、左手のすぐそこだよ）。あ
21	328	10.0	じまーをぅてー かかいむん ばれーぬ ない
21	328	10.0	ん。（交差点では霊払いができる）。
21	329	12.0	あじまー むすび 〈十字結び〉 【例】ぐ
21	328	10.0	しち みーちっし まぎく あじまーむすび 
21	328	10.0	しぇーる げーんっし まぶやーぐみ すん。
21	328	10.0	ぐしちぬ ふぁー てぃーちさーに くーく 
21	328	10.0	むしでーる さんぐゎー ちゅくてぃ、くゎっ
21	328	10.0	ちーぬ っうぃーんかい うちきてぃ むんぬ
21	328	10.9	き すん。（ススキ 3 本で大きく十字結びをし
21	328	10.0	た「げーん」で「まぶやー込め」をする。ススキ
21	328	10.0	の葉１つで小さく結んである「さん」を作って、
21	328	10.0	御馳走の上に添えて魔除けにする）。【参】げー
22	85	10.0	ん（ススキを束ねて、葉の先を折り曲げて結ん
22	85	10.0	で作ったお祓い用のもの）、まぶやーぐみ＝ま
22	85	10.0	ぶいぐみ（落とした魂を込めること）、さん（お
22	85	10.0	供えの上に添える魔除け用のもの）。
22	72	14.3	あたい 〈くらい、程度〉 【例】うぬ あたえ
22	85	10.0	ー ちゃーん ねーびらん どー。（それ位は
22	85	10.0	なんでもありませんよ、＝どういたしまして）。
22	72	14.3	あたいん 〈あたる〉【活】あたたん、あたらん、
22	85	10.0	あたてぃ 【例】あん いー かん いーっし
22	85	10.0	 ちびとぅ くちぬ あたらん。（あれを言っ
22	85	10.0	たりこれを言ったりしてつじつまが合わない）。
22	85	10.0	あったー たいや ゆー あたとーさ。（あの二
22	85	10.0	人は相性が良いね）。さんみのー あたとーみ？
22	85	10.0	 さんみん ばっぺーや ねーらに？ さんみ
22	85	10.0	ん あーし すみ？（計算はあっているか。計
22	85	10.0	算間違いがないか。計算合わせをするか）。ちゅ
22	85	10.0	ー かでーしがどぅ あたたがやー？（今日食
22	85	10.0	べたのがあたったのかね）。たからくじん う
22	85	10.0	ほーく。（なー）／うほーく（ねーん）／だてー
22	85	10.0	ん（なー） こーいねー、たーち みーちぇー
22	85	10.0	 あたいが すが やー？（宝くじもたくさん
22	85	10.0	買えば、２つ３つは当たるのかねえ）。どぅーく
22	85	10.0	る あん いやーに どぅーあたい そーん 
22	85	10.0	どー。（自分でそう言って自省しているよ）。ち
22	85	10.0	む／うち／どぅーあたい そーん どー。（自
22	85	10.0	分のことだと思って自省しているよ）。ちゅー
22	85	10.0	あたえー しぇー をぅらに？（ひとに強くあ
22	85	10.0	たってはいないか）。っちょー ちゃっさ は
22	85	10.0	なし しん わかいる むのー あらん。 ど
22	85	10.0	ぅーぬ っうぃーんかい あたてぃどぅ わか
22	85	10.0	いる。（人はいくら話してもわかるものではな
22	85	10.0	い。自分の身の上にふりかかってこそわかる）。
22	78	10.0	【参】あーいん。
22	72	14.3	あち〜〈暑、熱、厚〉 【例】あちさん（暑い、熱
22	85	10.0	い、厚い）からの接頭辞化。
22	85	12.0	あち ぐに 〈暑い地域〉 【例】うちなーや
22	85	10.0	 あちぐに なてぃ あかー ちーるー おー
22	85	10.0	るーぬ はなぬ さちかんてぃ あんし いる
22	85	10.0	ぬ ちゅらさる やー。（沖縄は暑い地方なの
22	328	10.0	で、赤色、⻩色、⻘色の花が咲き誇って、なん
22	328	10.0	と色がきれいなことよ）。【参】ふぃーぐに（寒
22	328	10.0	い地域）。
22	329	12.0	あち ぶったらー 〈厚着〉 【例】あんすか
22	328	10.0	なー あちぶったらー ちち、っんぢゅちぐり
22	328	10.0	こーねーらに？（あんなに厚着して、動きにく
22	328	10.0	くないか）。
22	315	14.3	あちかいん 〈1あつかう、2こき使う〉【活】あ
22	328	10.0	ちかたん、あちからん、あちかてぃ 【例】くれ
22	328	10.0	ー ちゃーっし あちかいが？（これはどのよ
22	328	10.0	うにして扱うのか）。みーぐるま なてぃ あち
22	328	10.0	かいよーぬ／あちけーぬ わからん。（新車な
22	328	10.0	のであつかい方がわからない）。どぅく まく
22	328	10.0	とぅなむん なてぃ っちゅんかい あちかり
22	328	10.0	ーっさ。（あまりにもお人好しなので、人にこき
22	328	10.0	使われるんだよ）。なまー っちゅんかい あ
22	328	10.0	ちかーっとーん。（今は人にこき使われている）。
22	328	10.0	ぬーんくぃん うーうーっし ちちゅくとぅ 
22	328	10.0	っちゅんかい あちかーりーっさ。（何でもは
22	328	10.0	いはいと聞くので、人にこき使われるんだよ）。
22	328	10.0	どぅく ちりてぃ あちけーぐりさん／あちけ
22	328	10.0	ーぐりー どー。（頭が良すぎて使いにくい）。
22	315	14.3	あちまいん 〈集まる〉【活】あちまたん、あ
22	328	10.0	ちまらん、あちまてぃ 【例】ちゅーや すりー
22	328	10.0	ぬ あくとぅ すりーじゅりー めんそーりよ
22	328	10.0	ー。（今日は集まりがあるのでご一緒にいらっ
22	328	10.0	しゃいね）。
22	315	14.3	あちゃー 〈明日〉 【例】あちゃーん ふぃー
22	328	10.0	や あんでぃ うむてー ならん どー。（明
22	328	10.0	日があると思ってはいけないよ）。
22	315	14.3	あちゅん 〈明く、開く、空く〉【活】あちゃん、
22	328	10.0	あかん、あち 【例】はしるぬ あちゅん。（戸
22	328	10.0	が開く）。やーぬ あちゅん。（家が空く）。た
22	328	10.0	ーん をぅらん。あちやー／からやー なとー
22	328	10.0	ん。（誰もいない。空き家になっているよ）。ふ
